Multiplied Moves: 1376 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1088 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1088 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1120 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1332 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1505 | Depth: 5| Time: 3 seconds
Multiplied Moves: 1470Multiplied Moves: 1170 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1480 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1444 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1368 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1813 | Depth: 5| Time: 1 seconds
Multiplied Moves: 2009Multiplied Moves: 1260 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1295Multiplied Moves: 924Multiplied Moves: 1462 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1518 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1610 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1500 | Depth: 5| Time: 9 seconds
Multiplied Moves: 1650 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1728 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1632 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1702 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1480 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1400 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1520 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1760 | Depth: 5| Time: 4 seconds
Multiplied Moves: 1892 | Depth: 5| Time: 4 seconds
Multiplied Moves: 1849 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1558 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1911 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1666 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1938 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1960 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1750 | Depth: 5| Time: 2 seconds
Multiplied Moves: 1517 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1125 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1035 | Depth: 5| Time: 1 seconds
Multiplied Moves: 990 | Depth: 6| Time: 4 seconds
Multiplied Moves: 968 | Depth: 6| Time: 5 seconds
Multiplied Moves: 903 | Depth: 6| Time: 3 seconds
Multiplied Moves: 968 | Depth: 6| Time: 6 seconds
Multiplied Moves: 860 | Depth: 6| Time: 4 seconds
Multiplied Moves: 1100 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1100 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1008 | Depth: 5| Time: 1 seconds
Multiplied Moves: 984 | Depth: 6| Time: 8 seconds
Multiplied Moves: 1353 | Depth: 5| Time: 0 seconds
Multiplied Moves: 1504 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1316 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1232 | Depth: 5| Time: 1 seconds
Multiplied Moves: 1188 | Depth: 5| Time: 4 seconds
Multiplied Moves: 903 | Depth: 6| Time: 1 seconds
Multiplied Moves: 828 | Depth: 6| Time: 4 seconds
Multiplied Moves: 759 | Depth: 6| Time: 3 seconds
Multiplied Moves: 1110 | Depth: 5| Time: 2 seconds
Multiplied Moves: 713 | Depth: 6| Time: 1 seconds
Multiplied Moves: 620 | Depth: 6| Time: 0 seconds
Multiplied Moves: 486 | Depth: 7| Time: 12 seconds
Multiplied Moves: 540 | Depth: 6| Time: 1 seconds
Multiplied Moves: 468 | Depth: 7| Time: 12 seconds
Multiplied Moves: 500 | Depth: 7| Time: 8 seconds
Multiplied Moves: 600 | Depth: 6| Time: 0 seconds
Multiplied Moves: 600 | Depth: 6| Time: 1 seconds
Multiplied Moves: 494 | Depth: 7| Time: 12 seconds
Multiplied Moves: 532 | Depth: 6| Time: 2 seconds
Multiplied Moves: 608 | Depth: 6| Time: 1 seconds
Multiplied Moves: 570 | Depth: 6| Time: 1 seconds
Multiplied Moves: 570 | Depth: 6| Time: 0 seconds
Multiplied Moves: 640 | Depth: 6| Time: 0 seconds
Multiplied Moves: 627 | Depth: 6| Time: 0 seconds
Multiplied Moves: 693 | Depth: 6| Time: 1 seconds
Multiplied Moves: 651 | Depth: 6| Time: 1 seconds
Multiplied Moves: 600 | Depth: 6| Time: 1 seconds
Multiplied Moves: 620 | Depth: 6| Time: 2 seconds
Multiplied Moves: 544 | Depth: 6| Time: 2 seconds
Multiplied Moves: 528 | Depth: 6| Time: 1 seconds
Multiplied Moves: 480 | Depth: 7| Time: 9 seconds
Multiplied Moves: 450 | Depth: 7| Time: 17 seconds
Multiplied Moves: 570 | Depth: 6| Time: 1 seconds
Multiplied Moves: 475 | Depth: 7| Time: 13 seconds
Multiplied Moves: 435 | Depth: 7| Time: 8 seconds
Multiplied Moves: 480 | Depth: 7| Time: 7 seconds
Multiplied Moves: 416 | Depth: 7| Time: 9 seconds
Multiplied Moves: 403 | Depth: 7| Time: 9 seconds
Multiplied Moves: 527 | Depth: 6| Time: 2 seconds
Multiplied Moves: 493 | Depth: 7| Time: 12 seconds
Multiplied Moves: 551 | Depth: 6| Time: 1 seconds
Multiplied Moves: 589 | Depth: 6| Time: 1 seconds
Multiplied Moves: 465 | Depth: 7| Time: 4 seconds
Multiplied Moves: 405 | Depth: 7| Time: 8 seconds
Multiplied Moves: 405 | Depth: 7| Time: 4 seconds
Multiplied Moves: 364 | Depth: 7| Time: 34 seconds
Multiplied Moves: 475 | Depth: 7| Time: 13 seconds
